split,n,train_pearson,val_pearson,train_spearman,val_spearman,k
densenet_colless_index,201,-0.9318164026522884,-0.9576348922070624,-0.5015969141326724,-0.5187245314844771,25
densenet_average_colless_index,201,-0.753035549702679,-0.6774909889131108,-0.8112441965400654,-0.8570222073329022,25
densenet_sackin_index,201,-0.8095070692212084,-0.8784944604629313,-0.6735183426362421,-0.6697340372884816,25
densenet_average_sackin_index,201,-0.6627644925354635,-0.6234428918623921,-0.8875495376051133,-0.9366329611144336,25
densenet_leaf_count,201,-0.3365227628489572,-0.3931520832932928,0.3587743575612326,0.4333019784829077,25
resnet_average_branching_factor,201,-0.2114456281321889,-0.2410509806958574,0.006368631600026,0.0223824804851251,25
resnet_colless_index,201,-0.8191979606637663,-0.8885053817065816,-0.5916682768235811,-0.5550389911231466,25
resnet_average_colless_index,201,-0.3939432942593151,-0.3570310109184748,-0.4296355790143119,-0.3985330127759989,25
resnet_sackin_index,201,-0.761316888172415,-0.848649360802584,-0.9031128049706878,-0.8750629902063151,25
resnet_average_sackin_index,201,-0.7047730983834811,-0.6014947758987027,-0.8842033008240407,-0.8573245179587196,25
resnet_leaf_count,201,-0.68724403900264,-0.7887262535617543,-0.4574543796653765,-0.4408510351383863,25
cifar_densenet_average_branching_factor,201,-0.0925104244052888,-0.1014558679530421,0.2489030132785042,0.290098441821929,25
cifar_densenet_colless_index,201,-0.9318164026522884,-0.9576348922070624,-0.5015969141326724,-0.5187245314844771,25
cifar_densenet_average_colless_index,201,-0.753035549702679,-0.6774909889131108,-0.8112441965400654,-0.8570222073329022,25
cifar_densenet_sackin_index,201,-0.8095070692212084,-0.8784944604629313,-0.6735183426362421,-0.6697340372884816,25
cifar_densenet_average_sackin_index,201,-0.6627644925354635,-0.6234428918623921,-0.8875495376051133,-0.9366329611144336,25
cifar_densenet_leaf_count,201,-0.3365227628489572,-0.3931520832932928,0.3587743575612326,0.4333019784829077,25
cifar_resnet_average_branching_factor,201,-0.2114456281321889,-0.2410509806958574,0.006368631600026,0.0223824804851251,25
cifar_resnet_colless_index,201,-0.8191979606637663,-0.8885053817065816,-0.5916682768235811,-0.5550389911231466,25
cifar_resnet_average_colless_index,201,-0.3939432942593151,-0.3570310109184748,-0.4296355790143119,-0.3985330127759989,25
cifar_resnet_sackin_index,201,-0.761316888172415,-0.848649360802584,-0.9031128049706878,-0.8750629902063151,25
cifar_resnet_average_sackin_index,201,-0.7047730983834811,-0.6014947758987027,-0.8842033008240407,-0.8573245179587196,25
cifar_resnet_leaf_count,201,-0.68724403900264,-0.7887262535617543,-0.4574543796653765,-0.4408510351383863,25
full_average_branching_factor,402,-0.1273474041604822,-0.1383300560052952,0.0943401752310347,0.1282489041741779,30
full_colless_index,402,-0.833688293595501,-0.8955880616573454,-0.5164642074561413,-0.5156029840033701,30
full_average_colless_index,402,-0.4565334832143383,-0.4258635567029063,-0.5890869215549672,-0.6260700388269437,30
full_sackin_index,402,-0.7613935489644292,-0.8413843477980602,-0.672888832204672,-0.6291949024536095,30
full_average_sackin_index,402,-0.6736456713293112,-0.6072407160989476,-0.8758265456376803,-0.8918231857785064,30
full_leaf_count,402,-0.4328688641843784,-0.5072347084993497,0.0103477198208401,0.0791059354594214,30
cifar_average_branching_factor,402,-0.1273474041604822,-0.1383300560052952,0.0943401752310347,0.1282489041741779,30
cifar_colless_index,402,-0.833688293595501,-0.8955880616573454,-0.5164642074561413,-0.5156029840033701,30
cifar_average_colless_index,402,-0.4565334832143383,-0.4258635567029063,-0.5890869215549672,-0.6260700388269437,30
cifar_sackin_index,402,-0.7613935489644292,-0.8413843477980602,-0.672888832204672,-0.6291949024536095,30
cifar_average_sackin_index,402,-0.6736456713293112,-0.6072407160989476,-0.8758265456376803,-0.8918231857785064,30
cifar_leaf_count,402,-0.4328688641843784,-0.5072347084993497,0.0103477198208401,0.0791059354594214,30
densenet_average_branching_factor,201,-0.0635745849704606,-0.0700055968690607,0.2645410764417042,0.3078106708770769,30
densenet_colless_index,201,-0.9019706337425362,-0.9383325409977372,-0.4726629360481549,-0.4818458901495535,30
densenet_average_colless_index,201,-0.7131950052567504,-0.6481016028087009,-0.7910881663000809,-0.8348119715154178,30
densenet_sackin_index,201,-0.7889870409548291,-0.8605376663729168,-0.6099114705658192,-0.5957550882044076,30
