,Class,Count,Count Majority,Count Homogeneous
903,wig,1,1,1
904,window screen,4,4,4
905,window shade,4,4,4
906,Windsor tie,6,6,6
907,wine bottle,20,20,20
908,wing,3,3,3
909,wok,13,13,13
910,wooden spoon,8,8,8
911,wool,10,10,10
912,worm fence,2,2,2
913,wreck,2,2,2
914,yawl,5,5,5
915,yurt,1,1,1
916,web site,1,1,1
917,comic book,5,5,5
918,crossword puzzle,2,2,2
919,street sign,2,2,2
920,traffic light,2,2,2
921,book jacket,8,8,8
922,menu,1,1,1
923,plate,9,9,9
924,guacamole,1,1,1
925,consomme,3,3,3
926,hot pot,9,9,9
927,trifle,1,1,1
928,ice cream,5,5,5
929,ice lolly,4,1,1
930,French loaf,2,2,2
931,bagel,1,1,1
932,pretzel,1,1,1
933,cheeseburger,2,2,2
934,hotdog,1,1,1
935,mashed potato,5,5,5
936,head cabbage,2,2,2
937,broccoli,3,3,3
938,cauliflower,1,1,1
939,zucchini,3,3,3
940,spaghetti squash,4,4,4
941,acorn squash,2,2,2
942,butternut squash,4,4,4
943,cucumber,6,6,6
944,artichoke,5,5,5
945,bell pepper,1,1,1
946,cardoon,14,14,14
947,mushroom,13,13,13
948,Granny Smith,2,2,2
949,strawberry,5,5,5
950,orange,15,15,15
951,lemon,5,5,5
952,fig,1,1,1
953,pineapple,1,1,1
954,banana,3,2,2
955,jackfruit,1,1,1
956,custard apple,1,1,1
957,pomegranate,1,1,1
958,hay,1,1,1
959,carbonara,1,1,1
960,chocolate sauce,19,19,19
961,dough,2,2,2
962,meat loaf,1,1,1
963,pizza,2,2,2
964,potpie,1,1,1
965,burrito,2,2,2
966,red wine,11,11,11
967,espresso,3,3,3
968,cup,8,8,8
969,eggnog,3,2,2
970,alp,11,11,11
971,bubble,2,1,1
972,cliff,10,10,10
973,coral reef,15,15,15
974,geyser,1,1,1
975,lakeside,8,8,8
976,promontory,5,5,5
977,sandbar,4,4,4
978,seashore,11,11,11
979,valley,5,5,5
980,volcano,1,1,1
981,ballplayer,22,22,22
982,groom,11,11,11
983,scuba diver,12,12,12
984,rapeseed,1,1,1
985,daisy,1,1,1
986,yellow lady's slipper,1,1,1
987,corn,23,23,23
988,acorn,1,1,1
989,hip,2,1,1
990,buckeye,1,1,1
991,coral fungus,1,1,1
992,agaric,27,27,27
993,gyromitra,1,1,1
994,stinkhorn,1,1,1
995,earthstar,1,1,1
996,hen-of-the-woods,3,3,3
997,bolete,17,17,17
998,ear,21,21,21
999,toilet tissue,16,16,16
